data,precip_mese_mm,accum_1m_mm,SPI1_fornito,SPI1_corretto,accum_3m_mm,SPI3_fornito,SPI3_corretto
2002-01,34.8,34.8,-0.48,-0.86,124.9,-0.15,-1.29
2002-02,24.5,24.5,-0.7,-0.78,103.9,0.01,-1.41
2002-03,35.3,35.3,-0.62,-0.4,94.6,-0.08,-1.36
2002-04,44.6,44.6,-0.33,0.32,104.5,-0.12,-0.76
2002-05,52.1,52.1,-0.34,1.13,132.0,-0.09,0.24
2002-06,4.4,4.4,-1.21,-0.33,101.1,-0.3,0.52
2002-07,22.2,22.2,-0.96,1.13,78.7,-0.32,0.9
2002-08,21.7,21.7,-1.01,0.5,48.4,-0.62,0.39
2002-09,21.3,21.3,-1.02,-0.81,65.2,-1.03,-0.04
2002-10,49.1,49.1,-0.3,-0.32,92.0,-0.52,-0.57
2002-11,74.7,74.7,0.01,0.25,145.0,-0.15,-0.48
2002-12,71.7,71.7,0.08,0.08,195.4,0.16,-0.26
