anno,pioggia annua media (mm),media 1951-2024 (mm)
1951,890.0,657.0
1952,441.0,657.0
1953,834.0,657.0
1954,792.0,657.0
1955,785.0,657.0
1956,653.0,657.0
1957,841.0,657.0
1958,830.0,657.0
1959,709.0,657.0
1960,686.0,657.0
1961,494.0,657.0
1962,583.0,657.0
1963,737.0,657.0
1964,775.0,657.0
1965,620.0,657.0
1966,717.0,657.0
1967,535.0,657.0
1968,558.0,657.0
1969,800.0,657.0
1970,397.0,657.0
1971,666.0,657.0
1972,726.0,657.0
1973,789.0,657.0
1974,559.0,657.0
1975,561.0,657.0
1976,1063.0,657.0
1977,348.0,657.0
1978,694.0,657.0
1979,640.0,657.0
1980,545.0,657.0
1981,413.0,657.0
1982,745.0,657.0
1983,548.0,657.0
1984,564.0,657.0
1985,617.0,657.0
1986,650.0,657.0
1987,496.0,657.0
1988,593.0,657.0
1989,463.0,657.0
1990,596.0,657.0
1991,635.0,657.0
1992,653.0,657.0
1993,582.0,657.0
1994,533.0,657.0
1995,586.0,657.0
1996,1003.0,657.0
1997,725.0,657.0
1998,491.0,657.0
1999,547.0,657.0
2000,535.0,657.0
2001,475.0,657.0
2002,544.0,657.0
2003,844.0,657.0
2004,770.0,657.0
2005,740.0,657.0
2006,686.0,657.0
2007,737.0,657.0
2008,580.0,657.0
2009,919.0,657.0
2010,778.0,657.0
2011,776.0,657.0
2012,667.0,657.0
2013,743.0,657.0
2014,635.0,657.0
2015,923.0,657.0
2016,577.0,657.0
2017,554.0,657.0
2018,892.0,657.0
2019,744.0,657.0
2020,524.0,657.0
2021,779.0,657.0
2022,483.0,657.0
2023,553.0,657.0
2024,486.0,657.0
