indice,periodo,media_isola_RICALC,%terr_deficit_RICALC,%terr_siccita_RICALC(<-0.5),media_isola_FORNITO,%terr_deficit_FORNITO
SPI1,1951-1968,0.112,6.0,0.0,-0.433,100.0
SPI1,1969-1987,-0.013,60.0,0.0,-0.441,100.0
SPI1,1988-2005,0.051,19.0,0.0,-0.438,100.0
SPI1,2006-2024,0.125,3.0,0.0,-0.446,100.0
SPI2,1951-1968,0.069,22.0,0.0,-0.042,64.0
SPI2,1969-1987,-0.089,91.0,0.0,-0.067,73.0
SPI2,1988-2005,-0.02,62.0,0.0,-0.054,71.0
SPI2,2006-2024,0.103,9.0,0.0,0.02,46.0
SPI3,1951-1968,0.067,25.0,0.0,-0.038,69.0
SPI3,1969-1987,-0.125,92.0,0.0,-0.066,78.0
SPI3,1988-2005,-0.058,75.0,0.0,-0.077,81.0
SPI3,2006-2024,0.122,9.0,0.0,0.023,49.0
