sorgente,mese,media,std
SPI1 fornito,Gennaio,0.003,0.653
SPI1 fornito,Febbraio,-0.209,0.707
SPI1 fornito,Marzo,-0.302,0.633
SPI1 fornito,Aprile,-0.572,0.641
SPI1 fornito,Maggio,-0.987,0.638
SPI1 fornito,Giugno,-1.187,0.698
SPI1 fornito,Luglio,-0.852,0.831
SPI1 fornito,Agosto,-0.703,0.835
SPI1 fornito,Settembre,-0.504,0.666
SPI1 fornito,Ottobre,-0.052,0.792
SPI1 fornito,Novembre,0.014,0.732
SPI1 fornito,Dicembre,0.075,0.64
SPI1 ricalc.,Gennaio,0.004,0.997
SPI1 ricalc.,Febbraio,0.005,0.992
SPI1 ricalc.,Marzo,0.009,0.988
SPI1 ricalc.,Aprile,0.001,0.995
SPI1 ricalc.,Maggio,0.009,0.974
SPI1 ricalc.,Giugno,0.163,0.81
SPI1 ricalc.,Luglio,0.426,0.615
SPI1 ricalc.,Agosto,0.212,0.758
SPI1 ricalc.,Settembre,0.007,0.984
SPI1 ricalc.,Ottobre,0.003,0.993
SPI1 ricalc.,Novembre,0.002,0.996
SPI1 ricalc.,Dicembre,0.002,1.0
SPI2 fornito,Gennaio,0.866,0.658
SPI2 fornito,Febbraio,0.743,0.664
SPI2 fornito,Marzo,0.558,0.658
SPI2 fornito,Aprile,0.268,0.592
SPI2 fornito,Maggio,-0.072,0.553
SPI2 fornito,Giugno,-0.64,0.599
SPI2 fornito,Luglio,-1.283,0.618
SPI2 fornito,Agosto,-1.484,0.628
SPI2 fornito,Settembre,-0.836,0.639
SPI2 fornito,Ottobre,0.008,0.686
SPI2 fornito,Novembre,0.573,0.665
SPI2 fornito,Dicembre,0.874,0.64
SPI2 ricalc.,Gennaio,-0.002,1.0
SPI2 ricalc.,Febbraio,0.005,1.001
SPI2 ricalc.,Marzo,0.001,1.0
SPI2 ricalc.,Aprile,0.0,1.0
SPI2 ricalc.,Maggio,-0.001,0.999
SPI2 ricalc.,Giugno,-0.0,0.992
SPI2 ricalc.,Luglio,0.082,0.888
SPI2 ricalc.,Agosto,0.102,0.862
SPI2 ricalc.,Settembre,0.006,0.99
SPI2 ricalc.,Ottobre,-0.001,1.0
SPI2 ricalc.,Novembre,-0.003,1.0
SPI2 ricalc.,Dicembre,-0.001,1.0
SPI3 fornito,Gennaio,0.971,0.756
SPI3 fornito,Febbraio,0.857,0.721
SPI3 fornito,Marzo,0.706,0.735
SPI3 fornito,Aprile,0.439,0.699
SPI3 fornito,Maggio,0.019,0.603
SPI3 fornito,Giugno,-0.429,0.556
SPI3 fornito,Luglio,-1.008,0.62
SPI3 fornito,Agosto,-1.472,0.705
SPI3 fornito,Settembre,-1.167,0.711
SPI3 fornito,Ottobre,-0.374,0.72
SPI3 fornito,Novembre,0.245,0.706
SPI3 fornito,Dicembre,0.746,0.727
SPI3 ricalc.,Gennaio,-0.001,1.0
SPI3 ricalc.,Febbraio,-0.001,1.0
SPI3 ricalc.,Marzo,-0.001,1.0
SPI3 ricalc.,Aprile,-0.0,1.0
SPI3 ricalc.,Maggio,0.001,1.0
SPI3 ricalc.,Giugno,-0.0,0.999
SPI3 ricalc.,Luglio,-0.001,0.995
SPI3 ricalc.,Agosto,0.021,0.959
SPI3 ricalc.,Settembre,0.005,0.994
SPI3 ricalc.,Ottobre,-0.001,1.0
SPI3 ricalc.,Novembre,-0.001,1.0
SPI3 ricalc.,Dicembre,-0.001,1.0
