sorgente,classe,oss_%,teorica_%
SPI1 fornito,estrema (<=-2),2.62,2.28
SPI1 fornito,severa (da -2 a -1.5),8.09,4.41
SPI1 fornito,moderata (da -1.5 a -1),14.43,9.18
SPI1 fornito,lieve secco (da -1 a 0),44.16,34.13
SPI1 fornito,lieve umido (da 0 a 1),27.67,34.13
SPI1 fornito,umido marcato (oltre 1),3.02,15.87
SPI1 ricalc.,estrema (<=-2),1.57,2.28
SPI1 ricalc.,severa (da -2 a -1.5),3.19,4.41
SPI1 ricalc.,moderata (da -1.5 a -1),7.1,9.18
SPI1 ricalc.,lieve secco (da -1 a 0),35.86,34.13
SPI1 ricalc.,lieve umido (da 0 a 1),36.68,34.13
SPI1 ricalc.,umido marcato (oltre 1),15.6,15.87
SPI2 fornito,estrema (<=-2),2.82,2.28
SPI2 fornito,severa (da -2 a -1.5),6.63,4.41
SPI2 fornito,moderata (da -1.5 a -1),9.86,9.18
SPI2 fornito,lieve secco (da -1 a 0),27.81,34.13
SPI2 fornito,lieve umido (da 0 a 1),39.22,34.13
SPI2 fornito,umido marcato (oltre 1),13.67,15.87
SPI2 ricalc.,estrema (<=-2),1.68,2.28
SPI2 ricalc.,severa (da -2 a -1.5),3.67,4.41
SPI2 ricalc.,moderata (da -1.5 a -1),8.96,9.18
SPI2 ricalc.,lieve secco (da -1 a 0),36.37,34.13
SPI2 ricalc.,lieve umido (da 0 a 1),33.5,34.13
SPI2 ricalc.,umido marcato (oltre 1),15.82,15.87
SPI3 fornito,estrema (<=-2),3.43,2.28
SPI3 fornito,severa (da -2 a -1.5),5.22,4.41
SPI3 fornito,moderata (da -1.5 a -1),9.39,9.18
SPI3 fornito,lieve secco (da -1 a 0),31.88,34.13
SPI3 fornito,lieve umido (da 0 a 1),35.44,34.13
SPI3 fornito,umido marcato (oltre 1),14.63,15.87
SPI3 ricalc.,estrema (<=-2),1.87,2.28
SPI3 ricalc.,severa (da -2 a -1.5),4.39,4.41
SPI3 ricalc.,moderata (da -1.5 a -1),9.48,9.18
SPI3 ricalc.,lieve secco (da -1 a 0),34.9,34.13
SPI3 ricalc.,lieve umido (da 0 a 1),33.51,34.13
SPI3 ricalc.,umido marcato (oltre 1),15.85,15.87
