anno,precipitazione_mm
1951,890.1
1952,441.1
1953,833.7
1954,791.9
1955,785.2
1956,653.2
1957,840.8
1958,830.1
1959,708.6
1960,685.5
1961,493.9
1962,583.0
1963,736.5
1964,774.8
1965,619.9
1966,716.6
1967,534.6
1968,558.2
1969,800.3
1970,397.1
1971,666.4
1972,725.9
1973,789.4
1974,559.2
1975,561.3
1976,1063.2
1977,347.9
1978,694.1
1979,640.1
1980,544.8
1981,413.2
1982,744.9
1983,548.4
1984,564.3
1985,617.3
1986,650.3
1987,495.8
1988,593.4
1989,462.6
1990,596.0
1991,635.1
1992,653.4
1993,581.8
1994,532.8
1995,586.5
1996,1002.7
1997,725.1
1998,490.9
1999,547.0
2000,535.0
2001,475.0
2002,543.9
2003,843.7
2004,770.2
2005,739.5
2006,686.4
2007,737.2
2008,580.5
2009,918.7
2010,778.0
2011,776.0
2012,666.9
2013,742.7
2014,635.4
2015,923.5
2016,576.8
2017,554.0
2018,892.4
2019,744.4
2020,523.7
2021,779.0
2022,483.2
2023,552.6
2024,486.1
