provincia,mese,precip_media_mm
Palermo,Gennaio,96.33
Palermo,Febbraio,81.95
Palermo,Marzo,75.3
Palermo,Aprile,57.28
Palermo,Maggio,31.44
Palermo,Giugno,13.11
Palermo,Luglio,6.45
Palermo,Agosto,18.07
Palermo,Settembre,48.48
Palermo,Ottobre,81.84
Palermo,Novembre,92.18
Palermo,Dicembre,98.68
Messina,Gennaio,124.39
Messina,Febbraio,96.56
Messina,Marzo,95.49
Messina,Aprile,65.9
Messina,Maggio,40.96
Messina,Giugno,20.87
Messina,Luglio,13.69
Messina,Agosto,25.39
Messina,Settembre,63.94
Messina,Ottobre,113.11
Messina,Novembre,114.72
Messina,Dicembre,128.33
Catania,Gennaio,79.83
Catania,Febbraio,59.63
Catania,Marzo,58.42
Catania,Aprile,41.18
Catania,Maggio,25.69
Catania,Giugno,12.21
Catania,Luglio,8.28
Catania,Agosto,19.43
Catania,Settembre,48.38
Catania,Ottobre,87.18
Catania,Novembre,79.74
Catania,Dicembre,82.32
Enna,Gennaio,75.41
Enna,Febbraio,56.37
Enna,Marzo,57.1
Enna,Aprile,42.18
Enna,Maggio,27.63
Enna,Giugno,14.81
Enna,Luglio,9.19
Enna,Agosto,20.25
Enna,Settembre,44.63
Enna,Ottobre,78.46
Enna,Novembre,73.63
Enna,Dicembre,78.12
Trapani,Gennaio,77.05
Trapani,Febbraio,67.56
Trapani,Marzo,55.57
Trapani,Aprile,46.14
Trapani,Maggio,23.43
Trapani,Giugno,8.23
Trapani,Luglio,3.22
Trapani,Agosto,10.62
Trapani,Settembre,47.07
Trapani,Ottobre,79.46
Trapani,Novembre,89.1
Trapani,Dicembre,85.27
Caltanissetta,Gennaio,74.5
Caltanissetta,Febbraio,57.9
Caltanissetta,Marzo,53.65
Caltanissetta,Aprile,39.27
Caltanissetta,Maggio,23.62
Caltanissetta,Giugno,9.84
Caltanissetta,Luglio,4.44
Caltanissetta,Agosto,12.35
Caltanissetta,Settembre,39.91
Caltanissetta,Ottobre,71.51
Caltanissetta,Novembre,78.63
Caltanissetta,Dicembre,78.98
Siracusa,Gennaio,92.65
Siracusa,Febbraio,70.37
Siracusa,Marzo,59.3
Siracusa,Aprile,39.57
Siracusa,Maggio,23.17
Siracusa,Giugno,9.19
Siracusa,Luglio,8.31
Siracusa,Agosto,18.41
Siracusa,Settembre,54.87
Siracusa,Ottobre,99.62
Siracusa,Novembre,88.46
Siracusa,Dicembre,94.96
Ragusa,Gennaio,80.36
Ragusa,Febbraio,60.56
Ragusa,Marzo,46.06
Ragusa,Aprile,32.09
Ragusa,Maggio,16.53
Ragusa,Giugno,7.02
Ragusa,Luglio,4.07
Ragusa,Agosto,11.61
Ragusa,Settembre,40.76
Ragusa,Ottobre,76.62
Ragusa,Novembre,77.4
Ragusa,Dicembre,80.52
Agrigento,Gennaio,80.87
Agrigento,Febbraio,66.97
Agrigento,Marzo,59.96
Agrigento,Aprile,43.04
Agrigento,Maggio,22.51
Agrigento,Giugno,8.52
Agrigento,Luglio,3.2
Agrigento,Agosto,11.42
Agrigento,Settembre,41.08
Agrigento,Ottobre,80.24
Agrigento,Novembre,88.89
Agrigento,Dicembre,87.55
