data,Palermo,Messina,Catania,Enna,Trapani,Caltanissetta,Siracusa,Ragusa,Agrigento
1951-01-01,145.15771,177.64711,86.20974,89.91428,81.7011,90.003586,144.45917,106.57781,98.19947
1951-02-01,74.690765,57.382816,25.486591,40.700676,65.320755,48.920128,25.811785,38.817574,58.08141
1951-03-01,109.1599,119.29958,54.434536,77.78464,63.48932,64.81947,51.042324,53.83255,64.17535
1951-04-01,30.962883,29.130121,4.108191,3.3335414,26.015919,3.9028702,0.60660654,3.8017712,7.604597
1951-05-01,42.40986,44.606903,16.426695,16.191631,36.53799,13.205867,18.645443,20.735132,24.421185
1951-06-01,0.03480152,1.4105264,0.7726306,0.20448062,0.0,0.0,0.2057262,0.0,0.0
1951-07-01,7.076747,10.921057,9.442739,2.6817548,0.9677881,2.4886873,1.7008729,4.126352,1.9939278
1951-08-01,20.275433,25.68825,9.73602,8.808023,14.717453,12.364708,10.785277,16.178705,11.118108
1951-09-01,89.23615,100.37408,121.123436,96.04786,81.52935,79.53731,132.81471,96.92901,66.017944
1951-10-01,211.73648,504.12332,412.66458,415.7877,176.565,253.49023,543.12115,384.5708,219.86267
1951-11-01,98.08539,109.001015,60.553215,56.933098,95.248146,44.988136,50.87333,47.879528,61.599266
1951-12-01,75.971954,71.94984,48.5808,53.928936,64.01386,63.47721,64.52268,59.447395,73.510155
1952-01-01,76.88862,83.69148,68.940506,67.46805,74.10321,81.14353,80.75062,72.13098,75.582794
1952-02-01,101.35178,103.468544,68.49467,61.748974,80.28007,55.658875,96.67774,87.96138,64.885086
1952-03-01,52.338146,78.360886,55.203793,59.69135,53.11893,51.869137,55.724632,40.559933,53.67075
1952-04-01,19.010399,18.472897,26.81392,29.28344,46.0646,26.550278,26.819176,20.516977,34.62275
1952-05-01,12.853876,42.48746,20.058273,17.270494,6.4749265,13.824039,17.553495,16.258118,12.6572075
1952-06-01,0.053622227,0.06772852,1.548681,0.62011915,0.15915677,0.02085454,0.2611649,0.0,0.17583387
1952-07-01,5.9858565,10.386198,4.2243543,18.139963,8.100195,4.8876443,2.911276,4.2013407,4.0218673
1952-08-01,0.014674195,5.2546153,9.041276,3.5252557,0.36049902,0.34147152,4.727088,0.13700661,0.42952892
1952-09-01,3.4527545,24.812008,1.3932687,1.2256957,4.948093,1.7768171,2.3572848,2.1924481,1.8082273
1952-10-01,37.876858,51.532658,27.514317,25.095968,28.288015,18.470547,20.319927,19.701471,22.304115
1952-11-01,113.073044,119.42667,47.28472,36.954624,93.72722,51.332005,47.916428,51.88247,86.93051
1952-12-01,70.42354,75.41492,31.789934,37.78571,62.233643,43.16709,56.30843,60.899853,55.33972
1953-01-01,128.55571,106.01374,90.79241,88.24158,142.93225,86.61205,115.55752,131.16116,86.2722
1953-02-01,80.75259,54.46881,33.6678,36.498837,91.217735,55.000126,43.690525,54.20807,80.10673
1953-03-01,86.510475,126.2335,168.93393,147.05946,79.89603,77.70645,249.86168,113.081085,84.540085
1953-04-01,25.716932,41.500313,42.23491,37.236435,17.379423,27.469498,48.98302,39.397022,26.617819
1953-05-01,52.232124,116.049416,76.411514,87.17856,31.556173,64.51542,66.417465,23.541565,42.050976
1953-06-01,31.749653,38.188072,26.721083,36.43551,26.78261,28.797562,24.002571,34.182743,25.366982
1953-07-01,0.036711343,1.5169917,0.20475017,0.33822733,0.01506647,0.013111294,0.0,0.0,0.0
1953-08-01,121.69932,45.703007,65.11964,42.221397,57.477486,42.973557,58.21775,60.621613,56.22377
1953-09-01,15.53716,30.839859,19.314678,27.285475,9.857444,13.39749,19.999964,7.1582766,9.644295
1953-10-01,136.47461,314.869,257.0192,202.24187,184.76814,147.44586,273.17532,260.2662,117.130684
1953-11-01,56.95851,77.65439,91.2378,36.695965,63.041714,36.97183,110.22994,56.76533,44.59706
1953-12-01,39.17013,80.119415,55.7576,45.762867,39.499916,45.457474,86.903046,43.722466,41.302246
1954-01-01,208.5673,157.70853,108.55002,132.24417,156.81158,139.77332,92.93596,100.20492,157.57657
1954-02-01,171.08556,168.56044,107.14411,125.62283,214.94293,137.95999,100.02992,112.48602,163.9432
1954-03-01,67.15601,141.67537,76.62775,84.14067,27.774267,63.329144,63.87972,27.133865,56.29632
1954-04-01,108.89992,89.85116,97.242546,87.88246,104.83273,73.30082,128.26944,86.15849,80.50236
