provincia,indice,periodo,spi_medio
Palermo,SPI1,1951-1968,0.0127
Palermo,SPI1,1969-1987,-0.0215
Palermo,SPI1,1988-2005,0.0128
Palermo,SPI1,2006-2024,-0.0026
Messina,SPI1,1951-1968,-0.0213
Messina,SPI1,1969-1987,-0.0018
Messina,SPI1,1988-2005,-0.0026
Messina,SPI1,2006-2024,0.0245
Catania,SPI1,1951-1968,0.0288
Catania,SPI1,1969-1987,-0.0042
Catania,SPI1,1988-2005,-0.0038
Catania,SPI1,2006-2024,-0.0194
Enna,SPI1,1951-1968,0.0189
Enna,SPI1,1969-1987,0.0156
Enna,SPI1,1988-2005,-0.0316
Enna,SPI1,2006-2024,-0.0036
Trapani,SPI1,1951-1968,-0.0
Trapani,SPI1,1969-1987,-0.0158
Trapani,SPI1,1988-2005,0.0247
Trapani,SPI1,2006-2024,-0.0076
Caltanissetta,SPI1,1951-1968,-0.0049
Caltanissetta,SPI1,1969-1987,0.0305
Caltanissetta,SPI1,1988-2005,-0.0197
Caltanissetta,SPI1,2006-2024,-0.0072
Siracusa,SPI1,1951-1968,0.0044
Siracusa,SPI1,1969-1987,0.0258
Siracusa,SPI1,1988-2005,0.017
Siracusa,SPI1,2006-2024,-0.0461
Ragusa,SPI1,1951-1968,0.0079
Ragusa,SPI1,1969-1987,0.0088
Ragusa,SPI1,1988-2005,0.0174
Ragusa,SPI1,2006-2024,-0.0327
Agrigento,SPI1,1951-1968,-0.0091
Agrigento,SPI1,1969-1987,0.0128
Agrigento,SPI1,1988-2005,0.0034
Agrigento,SPI1,2006-2024,-0.0074
Palermo,SPI2,1951-1968,0.0261
Palermo,SPI2,1969-1987,-0.0182
Palermo,SPI2,1988-2005,-0.0196
Palermo,SPI2,2006-2024,0.0477
Messina,SPI2,1951-1968,0.1101
Messina,SPI2,1969-1987,0.1047
Messina,SPI2,1988-2005,0.107
Messina,SPI2,2006-2024,0.154
Catania,SPI2,1951-1968,-0.1257
Catania,SPI2,1969-1987,-0.1437
Catania,SPI2,1988-2005,-0.1298
Catania,SPI2,2006-2024,-0.0179
Enna,SPI2,1951-1968,-0.1022
Enna,SPI2,1969-1987,-0.1292
Enna,SPI2,1988-2005,-0.115
Enna,SPI2,2006-2024,-0.034
Trapani,SPI2,1951-1968,-0.0725
Trapani,SPI2,1969-1987,-0.1325
Trapani,SPI2,1988-2005,-0.0878
Trapani,SPI2,2006-2024,-0.0353
Caltanissetta,SPI2,1951-1968,-0.1405
Caltanissetta,SPI2,1969-1987,-0.1513
Caltanissetta,SPI2,1988-2005,-0.1639
Caltanissetta,SPI2,2006-2024,-0.0486
Siracusa,SPI2,1951-1968,-0.0652
Siracusa,SPI2,1969-1987,-0.0929
Siracusa,SPI2,1988-2005,-0.0444
Siracusa,SPI2,2006-2024,0.0296
Ragusa,SPI2,1951-1968,-0.1482
Ragusa,SPI2,1969-1987,-0.1748
Ragusa,SPI2,1988-2005,-0.1799
Ragusa,SPI2,2006-2024,-0.0712
Agrigento,SPI2,1951-1968,-0.0874
Agrigento,SPI2,1969-1987,-0.1118
Agrigento,SPI2,1988-2005,-0.1009
Agrigento,SPI2,2006-2024,0.0055
Palermo,SPI3,1951-1968,0.0035
Palermo,SPI3,1969-1987,-0.0307
Palermo,SPI3,1988-2005,-0.0483
Palermo,SPI3,2006-2024,0.0484
Messina,SPI3,1951-1968,0.1171
Messina,SPI3,1969-1987,0.1015
Messina,SPI3,1988-2005,0.0769
Messina,SPI3,2006-2024,0.1912
Catania,SPI3,1951-1968,-0.0752
Catania,SPI3,1969-1987,-0.1151
Catania,SPI3,1988-2005,-0.1173
Catania,SPI3,2006-2024,-0.0048
Enna,SPI3,1951-1968,-0.0946
Enna,SPI3,1969-1987,-0.1103
Enna,SPI3,1988-2005,-0.1302
Enna,SPI3,2006-2024,-0.0457
Trapani,SPI3,1951-1968,-0.0954
Trapani,SPI3,1969-1987,-0.1074
Trapani,SPI3,1988-2005,-0.1233
Trapani,SPI3,2006-2024,-0.0412
Caltanissetta,SPI3,1951-1968,-0.1326
Caltanissetta,SPI3,1969-1987,-0.1271
Caltanissetta,SPI3,1988-2005,-0.1683
Caltanissetta,SPI3,2006-2024,-0.0441
Siracusa,SPI3,1951-1968,-0.0158
Siracusa,SPI3,1969-1987,-0.1283
Siracusa,SPI3,1988-2005,-0.0935
Siracusa,SPI3,2006-2024,0.0012
Ragusa,SPI3,1951-1968,-0.1194
Ragusa,SPI3,1969-1987,-0.1736
Ragusa,SPI3,1988-2005,-0.1874
Ragusa,SPI3,2006-2024,-0.0635
Agrigento,SPI3,1951-1968,-0.1355
Agrigento,SPI3,1969-1987,-0.094
Agrigento,SPI3,1988-2005,-0.1275
Agrigento,SPI3,2006-2024,0.0054
