provincia,indice,pct_sotto_-0.5,pct_sotto_-1.0,media
Palermo,SPI1,25.0,8.1,0.0
Messina,SPI1,27.8,10.2,0.0
Catania,SPI1,25.0,5.7,0.0
Enna,SPI1,22.6,4.4,0.0
Trapani,SPI1,25.3,8.2,0.0
Caltanissetta,SPI1,22.9,5.1,-0.0
Siracusa,SPI1,27.9,10.4,0.0
Ragusa,SPI1,25.8,6.3,-0.0
Agrigento,SPI1,25.8,6.4,-0.0
Palermo,SPI2,28.4,18.5,0.009
Messina,SPI2,28.8,18.0,0.119
Catania,SPI2,33.3,19.3,-0.104
Enna,SPI2,31.6,17.1,-0.095
Trapani,SPI2,31.0,20.2,-0.082
Caltanissetta,SPI2,32.7,19.1,-0.125
Siracusa,SPI2,34.3,20.7,-0.043
Ragusa,SPI2,35.1,22.2,-0.143
Agrigento,SPI2,31.5,20.8,-0.073
Palermo,SPI3,30.4,18.1,-0.006
Messina,SPI3,31.0,19.4,0.122
Catania,SPI3,33.4,16.9,-0.078
Enna,SPI3,31.3,13.9,-0.095
Trapani,SPI3,32.0,18.8,-0.091
Caltanissetta,SPI3,31.2,16.1,-0.117
Siracusa,SPI3,36.3,21.5,-0.059
Ragusa,SPI3,35.5,19.8,-0.136
Agrigento,SPI3,31.5,19.1,-0.087
