mese,SPI1_fornito,SPI1_corretto,SPI2_fornito,SPI2_corretto,SPI3_fornito,SPI3_corretto
Gennaio,-0.12,-0.0,0.66,-0.0,0.72,-0.0
Febbraio,-0.35,-0.0,0.53,0.0,0.57,-0.0
Marzo,-0.4,0.01,0.37,0.0,0.45,-0.0
Aprile,-0.65,0.0,0.12,0.0,0.24,-0.0
Maggio,-0.97,-0.01,-0.14,-0.0,-0.09,0.0
Giugno,-1.11,-0.0,-0.62,-0.01,-0.4,-0.0
Luglio,-0.84,0.06,-1.13,0.0,-0.84,-0.01
Agosto,-0.66,0.04,-1.27,0.03,-1.18,-0.0
Settembre,-0.52,0.0,-0.76,0.0,-0.96,0.0
Ottobre,-0.14,-0.0,-0.03,-0.0,-0.32,-0.0
Novembre,-0.09,0.0,0.44,-0.0,0.14,-0.0
Dicembre,-0.08,-0.0,0.69,-0.0,0.55,-0.0
