indice,mese,media,std
SPI1,Gennaio,0.004,0.997
SPI1,Febbraio,0.005,0.992
SPI1,Marzo,0.009,0.988
SPI1,Aprile,0.001,0.995
SPI1,Maggio,0.009,0.974
SPI1,Giugno,0.163,0.81
SPI1,Luglio,0.426,0.615
SPI1,Agosto,0.212,0.758
SPI1,Settembre,0.007,0.984
SPI1,Ottobre,0.003,0.993
SPI1,Novembre,0.002,0.996
SPI1,Dicembre,0.002,1.0
SPI2,Gennaio,-0.002,1.0
SPI2,Febbraio,0.005,1.001
SPI2,Marzo,0.001,1.0
SPI2,Aprile,0.0,1.0
SPI2,Maggio,-0.001,0.999
SPI2,Giugno,-0.0,0.992
SPI2,Luglio,0.082,0.888
SPI2,Agosto,0.102,0.862
SPI2,Settembre,0.006,0.99
SPI2,Ottobre,-0.001,1.0
SPI2,Novembre,-0.003,1.0
SPI2,Dicembre,-0.001,1.0
SPI3,Gennaio,-0.001,1.0
SPI3,Febbraio,-0.001,1.0
SPI3,Marzo,-0.001,1.0
SPI3,Aprile,-0.0,1.0
SPI3,Maggio,0.001,1.0
SPI3,Giugno,-0.0,0.999
SPI3,Luglio,-0.001,0.995
SPI3,Agosto,0.021,0.959
SPI3,Settembre,0.005,0.994
SPI3,Ottobre,-0.001,1.0
SPI3,Novembre,-0.001,1.0
SPI3,Dicembre,-0.001,1.0
