data,SPI1,SPI2,SPI3
1951-01,-0.16,,
1951-02,-0.082,-0.29,
1951-03,-0.04,-0.229,-0.354
1951-04,0.099,-0.075,-0.17
1951-05,0.325,0.206,0.143
1951-06,0.292,0.386,0.362
1951-07,0.241,0.315,0.487
1951-08,0.187,0.259,0.404
1951-09,0.241,0.25,0.356
1951-10,0.203,0.262,0.33
1951-11,0.266,0.246,0.357
1951-12,0.224,0.261,0.327
1952-01,0.224,0.219,0.343
1952-02,0.233,0.231,0.311
1952-03,0.186,0.188,0.261
1952-04,-0.062,-0.054,0.039
1952-05,-0.336,-0.4,-0.31
1952-06,-0.338,-0.629,-0.588
1952-07,-0.359,-0.643,-0.808
1952-08,-0.312,-0.616,-0.786
1952-09,-0.35,-0.607,-0.785
1952-10,-0.264,-0.57,-0.726
1952-11,-0.238,-0.478,-0.683
1952-12,-0.105,-0.373,-0.545
1953-01,0.046,-0.185,-0.394
1953-02,0.01,-0.082,-0.233
1953-03,0.174,0.064,-0.027
1953-04,0.245,0.268,0.15
1953-05,0.443,0.49,0.42
1953-06,0.414,0.628,0.568
1953-07,0.4,0.596,0.688
1953-08,0.448,0.634,0.707
1953-09,0.566,0.735,0.806
1953-10,0.503,0.78,0.865
1953-11,0.641,0.816,0.965
1953-12,0.567,0.871,0.963
1954-01,0.44,0.755,0.976
1954-02,0.44,0.63,0.859
1954-03,0.278,0.458,0.644
1954-04,0.237,0.278,0.459
1954-05,0.054,0.086,0.221
1954-06,0.174,0.033,0.163
1954-07,0.232,0.167,0.139
1954-08,0.272,0.225,0.25
1954-09,0.143,0.19,0.232
1954-10,0.181,0.117,0.211
1954-11,0.105,0.092,0.109
1954-12,0.045,0.002,0.07
1955-01,0.061,-0.05,-0.013
1955-02,0.072,-0.024,-0.06
1955-03,0.158,0.074,0.045
1955-04,0.411,0.338,0.316
1955-05,0.499,0.536,0.528
1955-06,0.394,0.511,0.597
1955-07,0.338,0.389,0.548
1955-08,0.135,0.195,0.33
1955-09,0.283,0.166,0.279
1955-10,0.206,0.24,0.225
1955-11,0.088,0.109,0.262
1955-12,0.083,0.007,0.141
1956-01,0.062,-0.008,0.035
1956-02,0.05,-0.039,0.013
1956-03,-0.048,-0.155,-0.119
1956-04,-0.12,-0.254,-0.22
1956-05,-0.188,-0.341,-0.326
1956-06,-0.068,-0.295,-0.327
1956-07,-0.047,-0.178,-0.276
1956-08,0.096,-0.053,-0.099
1956-09,-0.235,-0.12,-0.156
1956-10,-0.244,-0.346,-0.229
1956-11,-0.129,-0.284,-0.39
1956-12,-0.006,-0.123,-0.281
1957-01,0.009,-0.0,-0.12
1957-02,0.017,0.024,0.007
1957-03,0.081,0.103,0.103
1957-04,0.049,0.101,0.101
1957-05,0.208,0.208,0.22
1957-06,0.181,0.287,0.28
1957-07,0.267,0.314,0.391
1957-08,0.221,0.331,0.384
1957-09,0.374,0.33,0.434
1957-10,0.434,0.442,0.459
1957-11,0.426,0.483,0.543
1957-12,0.351,0.431,0.541
1958-01,0.343,0.36,0.49
1958-02,0.349,0.36,0.422
1958-03,0.292,0.304,0.36
1958-04,0.182,0.175,0.234
1958-05,0.053,0.018,0.068
1958-06,0.199,0.058,0.081
1958-07,0.202,0.182,0.116
1958-08,0.135,0.149,0.207
1958-09,0.087,0.076,0.161
1958-10,0.088,0.058,0.106
1958-11,0.229,0.16,0.176
1958-12,0.253,0.293,0.279
1959-01,0.32,0.343,0.42
1959-02,0.406,0.464,0.509
1959-03,0.439,0.559,0.633
1959-04,0.489,0.628,0.747
1959-05,0.553,0.705,0.831
1959-06,0.365,0.592,0.734
1959-07,0.305,0.399,0.605
1959-08,0.405,0.421,0.479
1959-09,0.493,0.54,0.533
1959-10,0.532,0.61,0.648
1959-11,0.437,0.569,0.645
1959-12,0.459,0.498,0.613
1960-01,0.459,0.518,0.549
1960-02,0.368,0.453,0.527
1960-03,0.327,0.341,0.444
1960-04,0.298,0.287,0.342
1960-05,0.209,0.197,0.241
1960-06,0.102,0.059,0.109
1960-07,0.197,0.07,0.066
1960-08,0.21,0.14,0.083
1960-09,0.114,0.113,0.118
1960-10,-0.037,-0.052,0.029
1960-11,-0.154,-0.252,-0.175
1960-12,-0.298,-0.421,-0.404
1961-01,-0.292,-0.515,-0.546
1961-02,-0.239,-0.467,-0.599
1961-03,-0.215,-0.396,-0.542
1961-04,-0.254,-0.412,-0.52
1961-05,-0.27,-0.439,-0.537
1961-06,-0.167,-0.371,-0.485
1961-07,-0.263,-0.387,-0.503
1961-08,-0.407,-0.549,-0.592
1961-09,-0.328,-0.624,-0.717
1961-10,-0.194,-0.481,-0.717
1961-11,-0.185,-0.355,-0.578
1961-12,-0.235,-0.367,-0.468
1962-01,-0.225,-0.383,-0.472
1962-02,-0.284,-0.419,-0.532
1962-03,-0.296,-0.483,-0.569
1962-04,-0.267,-0.466,-0.592
1962-05,-0.137,-0.334,-0.469
1962-06,-0.174,-0.27,-0.4
1962-07,-0.145,-0.273,-0.325
1962-08,-0.106,-0.225,-0.312
1962-09,-0.023,-0.142,-0.224
1962-10,-0.084,-0.122,-0.189
1962-11,-0.006,-0.13,-0.139
1962-12,0.237,0.059,-0.063
1963-01,0.247,0.219,0.097
1963-02,0.427,0.353,0.332
1963-03,0.511,0.551,0.485
1963-04,0.598,0.676,0.684
1963-05,0.545,0.657,0.688
1963-06,0.469,0.573,0.639
1963-07,0.484,0.542,0.577
1963-08,0.546,0.587,0.586
1963-09,0.487,0.588,0.592
1963-10,0.463,0.528,0.584
1963-11,0.521,0.562,0.57
1963-12,0.375,0.535,0.538
1964-01,0.422,0.469,0.535
1964-02,0.288,0.409,0.413
1964-03,0.383,0.415,0.436
1964-04,0.263,0.432,0.394
1964-05,0.235,0.359,0.387
1964-06,0.291,0.366,0.351
1964-07,0.363,0.458,0.408
1964-08,0.411,0.543,0.506
1964-09,0.413,0.579,0.584
1964-10,0.381,0.564,0.608
1964-11,0.236,0.427,0.515
1964-12,0.171,0.272,0.369
1965-01,0.006,0.085,0.164
1965-02,-0.043,-0.101,-0.044
1965-03,-0.138,-0.211,-0.204
1965-04,-0.056,-0.251,-0.258
1965-05,0.027,-0.138,-0.213
1965-06,0.003,-0.078,-0.127
1965-07,-0.126,-0.202,-0.157
1965-08,-0.2,-0.341,-0.296
1965-09,-0.261,-0.43,-0.45
1965-10,-0.148,-0.395,-0.478
1965-11,-0.01,-0.213,-0.378
1965-12,0.262,0.045,-0.106
1966-01,0.297,0.323,0.153
1966-02,0.301,0.363,0.435
1966-03,0.205,0.257,0.343
