comune,pro_com_t,den_prov
Buseto Palizzolo,081002,Trapani
Calatafimi-Segesta,081003,Trapani
Favignana,081009,Trapani
Paceco,081013,Trapani
Pantelleria,081014,Trapani
Partanna,081015,Trapani
Poggioreale,081016,Trapani
Salemi,081018,Trapani
Santa Ninfa,081019,Trapani
Vita,081023,Trapani
Alia,082001,Palermo
Alimena,082002,Palermo
Altavilla Milicia,082004,Palermo
Altofonte,082005,Palermo
Balestrate,082007,Palermo
Baucina,082008,Palermo
Belmonte Mezzagno,082009,Palermo
Bolognetta,082011,Palermo
Caccamo,082014,Palermo
Campofelice di Fitalia,082016,Palermo
Capaci,082020,Palermo
Carini,082021,Palermo
Casteldaccia,082023,Palermo
Castellana Sicula,082024,Palermo
Castronovo di Sicilia,082025,Palermo
Cefalà Diana,082026,Palermo
Cefalù,082027,Palermo
Chiusa Sclafani,082029,Palermo
Ciminna,082030,Palermo
Contessa Entellina,082033,Palermo
Corleone,082034,Palermo
Ficarazzi,082035,Palermo
Gangi,082036,Palermo
Giardinello,082038,Palermo
Giuliana,082039,Palermo
Godrano,082040,Palermo
Gratteri,082041,Palermo
Lascari,082044,Palermo
Marineo,082046,Palermo
Mezzojuso,082047,Palermo
Misilmeri,082048,Palermo
Monreale,082049,Palermo
Partinico,082054,Palermo
Petralia Sottana,082056,Palermo
Piana degli Albanesi,082057,Palermo
Polizzi Generosa,082058,Palermo
Pollina,082059,Palermo
Prizzi,082060,Palermo
Roccamena,082061,Palermo
Roccapalumba,082062,Palermo
San Cipirello,082063,Palermo
San Giuseppe Jato,082064,Palermo
Santa Cristina Gela,082066,Palermo
Sclafani Bagni,082069,Palermo
Termini Imerese,082070,Palermo
Torretta,082072,Palermo
Trabia,082073,Palermo
Trappeto,082074,Palermo
Ustica,082075,Palermo
Valledolmo,082076,Palermo
Ventimiglia di Sicilia,082077,Palermo
Villabate,082079,Palermo
Villafrati,082080,Palermo
Scillato,082081,Palermo
Blufi,082082,Palermo
Alcara li Fusi,083001,Messina
Antillo,083004,Messina
Basicò,083006,Messina
Brolo,083007,Messina
Capo d'Orlando,083009,Messina
Capri Leone,083010,Messina
Caronia,083011,Messina
Casalvecchio Siculo,083012,Messina
Castel di Lucio,083013,Messina
Castelmola,083015,Messina
Castroreale,083016,Messina
Falcone,083019,Messina
Fiumedinisi,083021,Messina
Fondachelli-Fantina,083023,Messina
Frazzanò,083026,Messina
Furnari,083028,Messina
Gaggi,083029,Messina
Gallodoro,083031,Messina
Gioiosa Marea,083033,Messina
Graniti,083034,Messina
Leni,083037,Messina
Letojanni,083038,Messina
Limina,083040,Messina
Lipari,083041,Messina
Longi,083042,Messina
Malfa,083043,Messina
Malvagna,083044,Messina
Mandanici,083045,Messina
Mazzarrà Sant'Andrea,083046,Messina
Merì,083047,Messina
Milazzo,083049,Messina
Mirto,083051,Messina
Mistretta,083052,Messina
Moio Alcantara,083053,Messina
Montagnareale,083056,Messina
Montalbano Elicona,083057,Messina
Motta Camastra,083058,Messina
Motta d'Affermo,083059,Messina
Nizza di Sicilia,083061,Messina
Novara di Sicilia,083062,Messina
Oliveri,083063,Messina
Pace del Mela,083064,Messina
Pettineo,083067,Messina
Piraino,083068,Messina
Raccuja,083069,Messina
Roccalumera,083072,Messina
Roccella Valdemone,083074,Messina
Rodì Milici,083075,Messina
Rometta,083076,Messina
San Fratello,083078,Messina
San Pier Niceto,083080,Messina
Sant'Alessio Siculo,083085,Messina
Santa Marina Salina,083087,Messina
Sant'Angelo di Brolo,083088,Messina
Santa Teresa di Riva,083089,Messina
Santo Stefano di Camastra,083091,Messina
Saponara,083092,Messina
Savoca,083093,Messina
Spadafora,083096,Messina
Taormina,083097,Messina
Tortorici,083099,Messina
Tripi,083100,Messina
Valdina,083103,Messina
Venetico,083104,Messina
Villafranca Tirrena,083105,Messina
Terme Vigliatore,083106,Messina
Torrenova,083108,Messina
Alessandria della Rocca,084002,Agrigento
Aragona,084003,Agrigento
Bivona,084004,Agrigento
Burgio,084005,Agrigento
Camastra,084008,Agrigento
Cammarata,084009,Agrigento
Campobello di Licata,084010,Agrigento
Canicattì,084011,Agrigento
Casteltermini,084012,Agrigento
Castrofilippo,084013,Agrigento
Cianciana,084015,Agrigento
Comitini,084016,Agrigento
