comune,pro_com_t,den_prov,ordinanza_trovata,tipo_trovato,numero_ordinanza,data_ordinanza,tipo_restrizione,fonte_url,note
Buseto Palizzolo,081002,Trapani,false,,,,,https://www.comune.busetopalizzolo.tp.it/it/news/avviso-alla-cittadinanza-acqua-non-potabile,"Trovata solo ordinanza di non potabilità n.37 del 29/11/2024 (emergenza salmonella da diga Garcia), non un'ordinanza di risparmio idrico. Comune nella provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023). Nessuna evidenza di ordinanza risparmio idrico specifica per il 2024."
Calatafimi-Segesta,081003,Trapani,true,notizia_ordinanza,,2024-05,"Divieto uso acqua potabile per lavaggio auto, innaffiatura, piscine",https://trapani.gds.it/articoli/politica/2024/05/09/ordinanza-anti-sprechi-a-trapani-vietato-usare-acqua-potabile-per-lavare-le-auto-o-innaffiare-le-piante-fc1fe25c-8e76-4693-82fa-ea7c8efe673d/,Citato nell'articolo del Giornale di Sicilia (09/05/2024) tra i comuni della provincia di Trapani che avevano già emesso ordinanza anti-spreco prima del capoluogo. Nessun numero di ordinanza né URL diretto trovato. Evidenza indiretta attraverso fonte giornalistica affidabile.
Favignana,081009,Trapani,true,ordinanza_sindacale,,2024-03-09,Divieto prelievo e consumo acqua potabile per: lavaggio aree cortilizie e veicoli privati; riempimento fontane ornamentali e piscine; uso pompe elettriche per prelievo da rete idrica. Irrigazione consentita solo 22:00-06:00 max 60 minuti.,https://www.comune.favignana.tp.it/it/news/grave-situazione-di-siccita-regionale-ordinanza-urgente-del-sindaco-al-fine-di-garantire-il-risparmio-dell-acqua,Ordinanza urgente del sindaco Francesco Forgione del 9 marzo 2024. Trovata su sito istituzionale del Comune di Favignana. Una delle prime ordinanze risparmio idrico della stagione in provincia di Trapani.
Paceco,081013,Trapani,true,notizia_ordinanza,,2024-04,Divieto irrigazione piante balcone/giardino (consentita 23:00-05:00); divieto lavaggio veicoli con getto continuo; divieto lavaggio aree cortilizie; divieto fontane ornamentali e piscine. Sanzioni €25-€500.,https://www.telesudweb.it/11-04-2024/paceco-misure-dellamministrazione-contro-lo-spreco-dellacqua-potabile,"Ordinanza emergenziale del sindaco Aldo Grammatico, aprile 2024. Fonte: Telesudweb. Numero ordinanza non rilevato. La Regione aveva dichiarato una riduzione del 15% dell'erogazione per Paceco. Testo integrale pubblicato su comune.paceco.tp.it."
Pantelleria,081014,Trapani,false,,,,,,Nessuna evidenza specifica trovata. L'isola di Pantelleria appartiene alla provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023). L'isola ha un acquedotto autonomo (AcquaePan). Sito egov.comunepantelleria.it consultato ma senza risultati per ordinanze risparmio idrico 2024. Non escludibile che ordinanza esista ma non indicizzata online.
Partanna,081015,Trapani,false,,,,,https://www.primapaginapartanna.it/partanna-ordinanza-per-il-risparmio-idrico-divieti-e-regole-per-luso-dellacqua-potabile,Trovata ordinanza risparmio idrico ma datata 24 marzo 2025 (fuori dal perimetro temporale 2024). Nessuna evidenza di analoga ordinanza nel 2024. Comune nella provincia di Trapani inclusa nell'emergenza regionale.
Poggioreale,081016,Trapani,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024. Comune menzionato per emergenza salmonella da diga Garcia nel novembre 2024 (non pertinente al risparmio idrico). Comune nella provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023).
Salemi,081018,Trapani,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024. Comune menzionato per emergenza salmonella da diga Garcia nel novembre 2024 (non pertinente). Comune nella provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023).
Santa Ninfa,081019,Trapani,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024. Comune menzionato per emergenza salmonella da diga Garcia nel novembre 2024 (non pertinente). Comune nella provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023).
Vita,081023,Trapani,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024. Comune menzionato per emergenza salmonella da diga Garcia nel novembre 2024 (non pertinente). Piccolo comune (600 ab.) nella provincia di Trapani inclusa nell'emergenza regionale (delibera GR n.100/2023).
