comune,codice_istat,provincia,sigla_prov,pixel_blu,frac_blu,ha_ordinanza,ordinanza_str
Alcamo,081001,Trapani,TP,22734,0.6934,True,Sì
Buseto Palizzolo,081002,Trapani,TP,750,0.041,False,No
Calatafimi-Segesta,081003,Trapani,TP,1581,0.0411,False,No
Campobello di Mazara,081004,Trapani,TP,11113,0.6794,True,Sì
Castellammare del Golfo,081005,Trapani,TP,22914,0.7211,True,Sì
Castelvetrano,081006,Trapani,TP,30352,0.5838,True,Sì
Custonaci,081007,Trapani,TP,12156,0.6858,True,Sì
Erice,081008,Trapani,TP,8702,0.714,True,Sì
Gibellina,081010,Trapani,TP,7965,0.6853,True,Sì
Marsala,081011,Trapani,TP,48859,0.8067,True,Sì
Mazara del Vallo,081012,Trapani,TP,59384,0.8698,True,Sì
Paceco,081013,Trapani,TP,2021,0.1399,False,No
Partanna,081015,Trapani,TP,1316,0.0637,False,No
Poggioreale,081016,Trapani,TP,0,0.0,False,No
Salaparuta,081017,Trapani,TP,5752,0.5561,True,Sì
Salemi,081018,Trapani,TP,980,0.0216,False,No
Santa Ninfa,081019,Trapani,TP,1412,0.0924,False,No
San Vito Lo Capo,081020,Trapani,TP,11470,0.7559,True,Sì
Trapani,081021,Trapani,TP,32347,0.7204,True,Sì
Valderice,081022,Trapani,TP,8770,0.678,True,Sì
Vita,081023,Trapani,TP,60,0.0249,False,No
Petrosino,081024,Trapani,TP,9073,0.8112,True,Sì
Alia,082001,Palermo,PA,303,0.0264,False,No
Alimena,082002,Palermo,PA,1812,0.1206,False,No
Aliminusa,082003,Palermo,PA,976,0.2875,False,No
Altavilla Milicia,082004,Palermo,PA,0,0.0,False,No
Altofonte,082005,Palermo,PA,213,0.0238,False,No
Bagheria,082006,Palermo,PA,5178,0.6836,True,Sì
Balestrate,082007,Palermo,PA,0,0.0,False,No
Baucina,082008,Palermo,PA,0,0.0,False,No
Belmonte Mezzagno,082009,Palermo,PA,472,0.0635,False,No
Bisacquino,082010,Palermo,PA,10715,0.6519,True,Sì
Bolognetta,082011,Palermo,PA,0,0.0,False,No
Bompietro,082012,Palermo,PA,7206,0.6707,True,Sì
Borgetto,082013,Palermo,PA,3022,0.4636,True,Sì
Caccamo,082014,Palermo,PA,759,0.0162,False,No
Caltavuturo,082015,Palermo,PA,16925,0.697,True,Sì
Campofelice di Fitalia,082016,Palermo,PA,400,0.046,False,No
Campofelice di Roccella,082017,Palermo,PA,2204,0.6042,True,Sì
Campofiorito,082018,Palermo,PA,2354,0.4184,True,Sì
Camporeale,082019,Palermo,PA,6356,0.647,True,Sì
Capaci,082020,Palermo,PA,68,0.0414,False,No
Carini,082021,Palermo,PA,127,0.0066,False,No
Castelbuono,082022,Palermo,PA,12909,0.8508,True,Sì
Casteldaccia,082023,Palermo,PA,146,0.017,False,No
Castellana Sicula,082024,Palermo,PA,0,0.0,False,No
Castronovo di Sicilia,082025,Palermo,PA,1277,0.0256,False,No
Cefalà Diana,082026,Palermo,PA,0,0.0,False,No
Cefalù,082027,Palermo,PA,53,0.0033,False,No
Cerda,082028,Palermo,PA,8009,0.7278,True,Sì
Chiusa Sclafani,082029,Palermo,PA,1786,0.123,False,No
Ciminna,082030,Palermo,PA,0,0.0,False,No
Cinisi,082031,Palermo,PA,6515,0.7754,True,Sì
Collesano,082032,Palermo,PA,20246,0.75,True,Sì
Contessa Entellina,082033,Palermo,PA,2066,0.0612,False,No
Corleone,082034,Palermo,PA,706,0.0124,False,No
Ficarazzi,082035,Palermo,PA,2,0.0022,False,No
Gangi,082036,Palermo,PA,971,0.0306,False,No
Geraci Siculo,082037,Palermo,PA,22066,0.7799,True,Sì
Giardinello,082038,Palermo,PA,117,0.036,False,No
Giuliana,082039,Palermo,PA,80,0.0132,False,No
Godrano,082040,Palermo,PA,0,0.0,False,No
Gratteri,082041,Palermo,PA,0,0.0,False,No
Isnello,082042,Palermo,PA,7295,0.5724,True,Sì
Isola delle Femmine,082043,Palermo,PA,514,0.5503,True,Sì
Lascari,082044,Palermo,PA,0,0.0,False,No
Lercara Friddi,082045,Palermo,PA,6490,0.6919,True,Sì
Marineo,082046,Palermo,PA,0,0.0,False,No
Mezzojuso,082047,Palermo,PA,0,0.0,False,No
Misilmeri,082048,Palermo,PA,415,0.0238,False,No
Monreale,082049,Palermo,PA,2197,0.0167,False,No
Montelepre,082050,Palermo,PA,1436,0.5226,True,Sì
Montemaggiore Belsito,082051,Palermo,PA,4779,0.5899,True,Sì
Palazzo Adriano,082052,Palermo,PA,20104,0.6201,True,Sì
Palermo,082053,Palermo,PA,27937,0.7004,True,Sì
Partinico,082054,Palermo,PA,131,0.0049,False,No
Petralia Soprana,082055,Palermo,PA,11168,0.8051,True,Sì
Petralia Sottana,082056,Palermo,PA,1348,0.0303,False,No
Piana degli Albanesi,082057,Palermo,PA,0,0.0,False,No
Polizzi Generosa,082058,Palermo,PA,1015,0.0298,False,No
Pollina,082059,Palermo,PA,127,0.01,False,No
Prizzi,082060,Palermo,PA,1203,0.0509,False,No
Roccamena,082061,Palermo,PA,0,0.0,False,No
Roccapalumba,082062,Palermo,PA,43,0.0054,False,No
San Cipirello,082063,Palermo,PA,0,0.0,False,No
San Giuseppe Jato,082064,Palermo,PA,0,0.0,False,No
San Mauro Castelverde,082065,Palermo,PA,22196,0.78,True,Sì
Santa Cristina Gela,082066,Palermo,PA,0,0.0,False,No
Santa Flavia,082067,Palermo,PA,1948,0.5282,True,Sì
Sciara,082068,Palermo,PA,4220,0.539,True,Sì
Sclafani Bagni,082069,Palermo,PA,3075,0.0902,False,No
Termini Imerese,082070,Palermo,PA,458,0.0241,False,No
Terrasini,082071,Palermo,PA,3106,0.6081,True,Sì
Torretta,082072,Palermo,PA,143,0.0216,False,No
Trabia,082073,Palermo,PA,0,0.0,False,No
Trappeto,082074,Palermo,PA,7,0.0066,False,No
Valledolmo,082076,Palermo,PA,0,0.0,False,No
Ventimiglia di Sicilia,082077,Palermo,PA,0,0.0,False,No
Vicari,082078,Palermo,PA,12355,0.5741,True,Sì
Villabate,082079,Palermo,PA,95,0.0899,False,No
Villafrati,082080,Palermo,PA,0,0.0,False,No
Scillato,082081,Palermo,PA,1245,0.1566,False,No
Blufi,082082,Palermo,PA,711,0.1271,False,No
Alcara li Fusi,083001,Messina,ME,683,0.0433,False,No
Alì,083002,Messina,ME,2163,0.5281,True,Sì
Alì Terme,083003,Messina,ME,1192,0.7559,True,Sì
