station,station_slug,provincia,has_coords,lat,lon,nota
Acate,acate,RG,true,36.973454,14.400032,
Agira,agira,EN,true,37.621781,14.501332,
Agrigento Mandrascava,agr_mand,AG,true,37.236221,13.635052,
Agrigento Scibica,agr_scib,AG,true,37.339132,13.54853,
Aidone,aidone,EN,true,37.448885,14.466124,
Alia,alia,PA,true,37.740781,13.745119,
Antillo,antillo,ME,true,37.977349,15.260118,
Aragona,aragona,AG,true,37.457224,13.623459,
Augusta,augusta,SR,true,37.281312,15.149252,
Bivona,bivona,AG,true,37.593924,13.414619,
Bronte,bronte,CT,true,37.752458,14.785292,
Butera,butera,CL,true,37.133807,14.112783,
Calascibetta,calascibetta,EN,true,37.669674,14.226508,
Calatafimi,calatafimi,TP,true,37.855212,12.881464,
Caltagirone,caltagirone,CT,true,37.236282,14.59183,
Caltanissetta,caltanissetta,CL,true,37.42788,14.049344,
Cammarata,cammarata,AG,true,37.630435,13.735565,
Camporeale,camporeale,PA,true,37.903554,13.10016,
Canicattì,canicatti,AG,true,37.356749,13.772667,
Caronia Buzza,caronia_buzza,ME,true,38.027267,14.488809,
Caronia Pomiere,caronia_pomiere,ME,true,37.8951,14.485823,
Castelbuono,castelbuono,PA,true,37.973035,14.088875,
Castellammare del Gol,castellammare,TP,true,38.012855,12.88879,
Castelvetrano,castelvetrano,TP,true,37.646236,12.85226,
Catania,catania,CT,true,37.441805,15.068019,
Cesarò Monte Soro,cesaro_monte_soro,ME,true,37.930938,14.69356,
Cesarò Vignazza,cesaro_vignazza,ME,true,37.837047,14.678868,
Comiso,comiso,RG,true,37.014566,14.590343,
Contessa Entellina,contessa_entellina,PA,true,37.728874,13.042704,
Corleone,corleone,PA,true,37.803203,13.249889,
Delia,delia,CL,true,37.347811,13.92491,
Enna,enna,EN,true,37.515715,14.175404,
Erice,erice,TP,true,38.03122,12.5847,
Fiumedinisi,fiumedinisi,ME,true,38.033343,15.374378,
Francofonte,francofonte,SR,true,37.244311,14.89328,
Gangi,gangi,PA,true,37.81457,14.193427,
Gela,gela,CL,true,37.157182,14.332904,
Giuliana,giuliana,PA,true,37.631625,13.229151,
Ispica,ispica,RG,true,36.728232,14.992708,
Lascari,lascari,PA,true,37.998475,13.919398,
Leni (Salina),leni,ME,true,38.561279,14.833502,
Lentini,lentini,SR,true,37.34055,14.924901,
Licata,licata,AG,true,37.153987,13.888056,
Linguaglossa,linguaglossa,CT,true,37.826101,15.130593,
Linguaglossa Etna Nord,linguaglossa_etna,CT,true,37.7903,15.0341,coordinata stimata per georeferenziazione dalla mappa ufficiale SIAS (stazione assente nello shapefile 2013)
Maletto,maletto,CT,true,37.826005,14.872347,
Marsala,marsala,TP,true,37.800129,12.568252,
Mazara del Vallo,mazara_del_vallo,TP,true,37.678088,12.674421,
Mazzarino,mazzarino,CL,true,37.29679,14.213002,
Mazzarrone,mazzarrone,CT,true,37.094336,14.560916,
Messina,messina,ME,true,38.257015,15.560376,
Mezzojuso,mezzojuso,PA,true,37.850584,13.494653,
Militello Rosmarino,militello_rosmarino,ME,true,38.038234,14.666447,
Mineo,mineo,CT,true,37.319352,14.725608,
Misilmeri,misilmeri,PA,true,38.030228,13.442459,
Mistretta,mistretta,ME,true,37.861202,14.3395,
Modica,modica,RG,true,36.881612,14.901339,
Monreale B.,monreale_bifarera,PA,true,37.877011,13.367127,
Monreale V.,monreale_vigna_api,PA,true,38.023888,13.20225,
Montalbano Elicona,montalbano,ME,true,37.984472,14.96595,
Mussomeli,mussomeli,CL,true,37.561115,13.83071,
Naso,naso,ME,true,38.105557,14.78562,
Nicosia,nicosia,EN,true,37.761852,14.423613,
Noto,noto,SR,true,36.844553,15.056696,
Novara di Sicilia,novara_di_sicilia,ME,true,38.024689,15.14096,
Pachino,pachino,SR,true,36.680804,15.094461,
Palazzolo Acreide,palazzolo,SR,true,37.060446,14.870874,
Palermo,palermo,PA,true,38.129277,13.327101,
Pantelleria,pantelleria,TP,true,36.791041,11.953202,
Partinico,partinico,PA,true,38.065491,13.093915,
Paternò,paterno,CT,true,37.513826,14.854131,
Patti,patti,ME,true,38.139477,15.018725,
Pedara,pedara,CT,true,37.642627,15.048433,
Petralia Sottana,petralia_sottana,PA,true,37.632073,14.010868,
Pettineo,pettineo,ME,true,37.972695,14.289249,
Piazza Armerina,piazza_armerina,EN,true,37.315618,14.365836,
Polizzi Generosa,polizzi_generosa,PA,true,37.823402,13.995231,
Prizzi,prizzi,PA,true,37.722928,13.424659,
Ragusa,ragusa,RG,true,36.953805,14.676167,
Ramacca Giumarra,ramacca_giumarra,CT,true,37.480104,14.633034,
Randazzo,randazzo,CT,true,37.887659,14.978982,
Ribera,ribera,AG,true,37.437012,13.265677,
Riesi,riesi,CL,true,37.274056,14.088311,
Riposto,riposto,CT,true,37.683573,15.197494,
Salemi,salemi,TP,true,37.817761,12.719434,
San Fratello,san_fratello,ME,true,37.95368,14.62311,
San Pier Niceto,san_pier_niceto,ME,true,38.128104,15.359334,
Santa Croce Camerina,santa_croce_camerina,RG,true,36.834643,14.501678,
Sciacca,sciacca,AG,true,37.590217,13.038992,
Scicli,scicli,RG,true,36.759568,14.675999,
Sclafani Bagni,sclafani_bagni,PA,true,37.70435,13.849177,
Siracusa,siracusa,SR,true,37.060401,15.158322,
Termini Imerese,termini_imerese,PA,true,37.970906,13.611928,
Torregrotta,torregrotta,ME,true,38.189618,15.355456,
Trapani Fontanasalsa,trapani_fontanasalsa,TP,true,37.941955,12.552729,
Trapani Fulgatore,trapani_fulgatore,TP,true,37.945837,12.660666,
