station,station_slug,provincia,has_coords,date,timescale_months,spi
Acate,acate,RG,true,1991-01-01,3,
Acate,acate,RG,true,1991-02-01,3,
Acate,acate,RG,true,1991-03-01,3,-0.27
Acate,acate,RG,true,1991-04-01,3,-0.4
Acate,acate,RG,true,1991-05-01,3,-0.82
Acate,acate,RG,true,1991-06-01,3,0.37
Acate,acate,RG,true,1991-07-01,3,-0.12
Acate,acate,RG,true,1991-08-01,3,-0.18
Acate,acate,RG,true,1991-09-01,3,-0.02
Acate,acate,RG,true,1991-10-01,3,0.59
Acate,acate,RG,true,1991-11-01,3,0.11
Acate,acate,RG,true,1991-12-01,3,0.31
Acate,acate,RG,true,1992-01-01,3,0.73
Acate,acate,RG,true,1992-02-01,3,0.69
Acate,acate,RG,true,1992-03-01,3,0.54
Acate,acate,RG,true,1992-04-01,3,-1.23
Acate,acate,RG,true,1992-05-01,3,0.25
Acate,acate,RG,true,1992-06-01,3,0.75
Acate,acate,RG,true,1992-07-01,3,1.94
Acate,acate,RG,true,1992-08-01,3,1.08
Acate,acate,RG,true,1992-09-01,3,0.23
Acate,acate,RG,true,1992-10-01,3,-0.57
Acate,acate,RG,true,1992-11-01,3,-1.7
Acate,acate,RG,true,1992-12-01,3,-0.75
Acate,acate,RG,true,1993-01-01,3,-1.14
Acate,acate,RG,true,1993-02-01,3,-0.3
Acate,acate,RG,true,1993-03-01,3,-1.65
Acate,acate,RG,true,1993-04-01,3,-1.55
Acate,acate,RG,true,1993-05-01,3,-0.91
Acate,acate,RG,true,1993-06-01,3,-0.29
Acate,acate,RG,true,1993-07-01,3,0.78
Acate,acate,RG,true,1993-08-01,3,-0.34
Acate,acate,RG,true,1993-09-01,3,-0.33
Acate,acate,RG,true,1993-10-01,3,-0.29
Acate,acate,RG,true,1993-11-01,3,-0.07
Acate,acate,RG,true,1993-12-01,3,0.2
Acate,acate,RG,true,1994-01-01,3,0.13
Acate,acate,RG,true,1994-02-01,3,-0.22
Acate,acate,RG,true,1994-03-01,3,-1.13
Acate,acate,RG,true,1994-04-01,3,-1.19
Acate,acate,RG,true,1994-05-01,3,-1.77
Acate,acate,RG,true,1994-06-01,3,0.04
Acate,acate,RG,true,1994-07-01,3,0.68
Acate,acate,RG,true,1994-08-01,3,0.92
Acate,acate,RG,true,1994-09-01,3,0.22
Acate,acate,RG,true,1994-10-01,3,0.41
Acate,acate,RG,true,1994-11-01,3,0.21
Acate,acate,RG,true,1994-12-01,3,0.09
Acate,acate,RG,true,1995-01-01,3,-0.86
Acate,acate,RG,true,1995-02-01,3,-1.05
Acate,acate,RG,true,1995-03-01,3,-1.32
Acate,acate,RG,true,1995-04-01,3,-0.96
Acate,acate,RG,true,1995-05-01,3,-0.51
Acate,acate,RG,true,1995-06-01,3,-0.64
Acate,acate,RG,true,1995-07-01,3,-0.25
Acate,acate,RG,true,1995-08-01,3,0.83
Acate,acate,RG,true,1995-09-01,3,0.53
Acate,acate,RG,true,1995-10-01,3,-0.3
Acate,acate,RG,true,1995-11-01,3,-0.58
Acate,acate,RG,true,1995-12-01,3,-0.13
Acate,acate,RG,true,1996-01-01,3,0.67
Acate,acate,RG,true,1996-02-01,3,1.47
Acate,acate,RG,true,1996-03-01,3,1.77
