station_slug,station
acate,Acate
agira,Agira
agr_mand,Agrigento Mandrascava
agr_scib,Agrigento Scibica
aidone,Aidone
alia,Alia
antillo,Antillo
aragona,Aragona
augusta,Augusta
bivona,Bivona
bronte,Bronte
butera,Butera
calascibetta,Calascibetta
calatafimi,Calatafimi
caltagirone,Caltagirone
caltanissetta,Caltanissetta
cammarata,Cammarata
camporeale,Camporeale
canicatti,Canicattì
caronia_buzza,Caronia Buzza
caronia_pomiere,Caronia Pomiere
castelbuono,Castelbuono
castellammare,Castellammare del Gol
castelvetrano,Castelvetrano
catania,Catania
cesaro_monte_soro,Cesarò Monte Soro
cesaro_vignazza,Cesarò Vignazza
comiso,Comiso
contessa_entellina,Contessa Entellina
corleone,Corleone
delia,Delia
enna,Enna
erice,Erice
fiumedinisi,Fiumedinisi
francofonte,Francofonte
gangi,Gangi
gela,Gela
giuliana,Giuliana
ispica,Ispica
lascari,Lascari
leni,Leni (Salina)
lentini,Lentini
licata,Licata
linguaglossa,Linguaglossa
linguaglossa_etna,Linguaglossa Etna Nord
maletto,Maletto
marsala,Marsala
mazara_del_vallo,Mazara del Vallo
mazzarino,Mazzarino
mazzarrone,Mazzarrone
messina,Messina
mezzojuso,Mezzojuso
militello_rosmarino,Militello Rosmarino
mineo,Mineo
misilmeri,Misilmeri
mistretta,Mistretta
modica,Modica
monreale_bifarera,Monreale B.
monreale_vigna_api,Monreale V.
montalbano,Montalbano Elicona
mussomeli,Mussomeli
naso,Naso
nicosia,Nicosia
noto,Noto
novara_di_sicilia,Novara di Sicilia
pachino,Pachino
palazzolo,Palazzolo Acreide
palermo,Palermo
pantelleria,Pantelleria
partinico,Partinico
paterno,Paternò
patti,Patti
pedara,Pedara
petralia_sottana,Petralia Sottana
pettineo,Pettineo
piazza_armerina,Piazza Armerina
polizzi_generosa,Polizzi Generosa
prizzi,Prizzi
ragusa,Ragusa
ramacca_giumarra,Ramacca Giumarra
randazzo,Randazzo
ribera,Ribera
riesi,Riesi
riposto,Riposto
salemi,Salemi
san_fratello,San Fratello
san_pier_niceto,San Pier Niceto
santa_croce_camerina,Santa Croce Camerina
sciacca,Sciacca
scicli,Scicli
sclafani_bagni,Sclafani Bagni
siracusa,Siracusa
termini_imerese,Termini Imerese
torregrotta,Torregrotta
trapani_fontanasalsa,Trapani Fontanasalsa
trapani_fulgatore,Trapani Fulgatore
